Song,Album,Album Release Date,Artist Names,Artist(s) Genres,Hot100 Ranking Year,Hot100 Rank,Song Length(ms),Spotify Link,Song Image,Spotify URI,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Key,Mode,Time Signature
Right Here Waiting,Repeat Offender,1989-01-01,['Richard Marx'],"['new wave pop', 'soft rock']",1989,11,264333,https://open.spotify.com/track/4LFwNJWoj74Yd71fIr1W8x,https://i.scdn.co/image/ab67616d00001e02edc27582d8f5c3a7c56893bf,spotify:track:4LFwNJWoj74Yd71fIr1W8x,77,0.8,0.395,0.252,0.0,0.101,-13.589,0.0301,177.679,0.126,0,1,4
Waiting for a Star to Fall,Reel Life (Expanded Edition),1988-06-01,['Boy Meets Girl'],['new wave pop'],1989,12,270720,https://open.spotify.com/track/09huOVRryZNV2deKFZLJDC,https://i.scdn.co/image/ab67616d00001e02298da1176c2035b541e747d0,spotify:track:09huOVRryZNV2deKFZLJDC,63,0.145,0.662,0.844,0.00011,0.137,-6.034,0.027,116.346,0.592,3,1,4
Lost in Your Eyes,Electric Youth,1989-01-10,['Debbie Gibson'],"['new wave pop', 'freestyle', 'soft rock']",1989,13,215146,https://open.spotify.com/track/6PMDILZiYo4YzMBbE0dGK9,https://i.scdn.co/image/ab67616d00001e02cf5e3d59bd3309f148495c39,spotify:track:6PMDILZiYo4YzMBbE0dGK9,67,0.335,0.512,0.588,0.000806,0.0963,-8.591,0.0276,144.521,0.242,7,1,4
Don't Wanna Lose You Now (Karaoke in the style of Gloria Estefan),1989 Karaoke Classics Volume 1,2009-09-21,"[""1980's Karaoke Band""]",['karaoke'],1989,14,254586,https://open.spotify.com/track/6DZnA9FN7n3t6WAMCCUl2j,https://i.scdn.co/image/ab67616d00001e024b74de217f7fbb2f11e309cd,spotify:track:6DZnA9FN7n3t6WAMCCUl2j,0,0.0983,0.521,0.49,0.0172,0.0752,-12.966,0.0268,164.221,0.283,5,1,4
Heaven,Dirty Rotten Filthy Stinking Rich,1989,['Warrant'],"['glam metal', 'album rock', 'hard rock']",1989,15,236866,https://open.spotify.com/track/2dEgwtRjYl6TJkIwjRwn6z,https://i.scdn.co/image/ab67616d00001e027b3295756d991b0329acf882,spotify:track:2dEgwtRjYl6TJkIwjRwn6z,62,0.115,0.461,0.488,0.0,0.128,-11.143,0.0287,145.778,0.33,6,1,4
Girl I'm Gonna Miss You (Originally Performed by Milli Vanilli) [Karaoke Version],"The Karaoke Channel - Top R&B Hits of 1989, Vol. 2",2016-01-22,['The Karaoke Channel'],['karaoke'],1989,16,237898,https://open.spotify.com/track/4O2dPYpXcn1px8FZYZQYUc,https://i.scdn.co/image/ab67616d00001e02f37ed456c75b6eb8c0dcbf20,spotify:track:4O2dPYpXcn1px8FZYZQYUc,0,0.0561,0.761,0.517,0.00411,0.0828,-9.336,0.0509,157.973,0.9,10,1,4
The Look,Look Sharp!,1988-10-19,['Roxette'],"['swedish pop', 'europop']",1989,17,237320,https://open.spotify.com/track/79LdvxXi5JYUjhnO7v9Fi3,https://i.scdn.co/image/ab67616d00001e02df5802b1cc1533f54255e2d1,spotify:track:79LdvxXi5JYUjhnO7v9Fi3,59,0.0531,0.634,0.838,8.34e-06,0.0522,-5.363,0.0413,95.011,0.541,2,1,4
She Drives Me Crazy,The Raw & The Cooked,1988-01-01,['Fine Young Cannibals'],"['new wave', 'soft rock', 'dance rock', 'new wave pop', 'australian rock', 'synthpop', 'new romantic', 'mellow gold']",1989,18,215773,https://open.spotify.com/track/4d6eqRtpDX7tydHJGDZUBQ,https://i.scdn.co/image/ab67616d00001e02c573a4a852f010523c4ba383,spotify:track:4d6eqRtpDX7tydHJGDZUBQ,76,0.193,0.799,0.687,0.000188,0.0307,-5.682,0.0431,108.804,0.965,2,1,4
On Our Own,Ghostbusters II,1989-06-16,['Bobby Brown'],"['contemporary r&b', 'new jack swing', 'urban contemporary', 'r&b']",1989,19,294413,https://open.spotify.com/track/3ojDU1HhKEfdExIN6QsK8q,https://i.scdn.co/image/ab67616d00001e02f77962e7145907994ceeef89,spotify:track:3ojDU1HhKEfdExIN6QsK8q,49,0.0035,0.659,0.899,0.0,0.0629,-6.207,0.0423,101.802,0.562,2,1,4
Two Hearts,Love Songs (A Compilation Old and New),2004-09-14,['Phil Collins'],"['soft rock', 'rock drums']",1989,20,204386,https://open.spotify.com/track/2BgWv15eKCDfiubKo6o76k,https://i.scdn.co/image/ab67616d00001e02d4b690876e5c7ba50447e6fc,spotify:track:2BgWv15eKCDfiubKo6o76k,65,0.311,0.582,0.908,0.0323,0.0625,-2.48,0.039,155.561,0.711,7,1,4
Blame It on the Rain,4 Hits: Milli Vanilli,2011-06-03,['Milli Vanilli'],"['new wave pop', 'new jack swing', 'freestyle']",1989,21,248533,https://open.spotify.com/track/0UUpyDCYzkziXJ1TM4awHM,https://i.scdn.co/image/ab67616d00001e0227633a9334316bf2ce9d6bc2,spotify:track:0UUpyDCYzkziXJ1TM4awHM,53,0.00326,0.758,0.827,0.000169,0.0946,-6.151,0.0774,97.515,0.506,4,0,4
Listen To Your Heart,Look Sharp!,1988-10-19,['Roxette'],"['swedish pop', 'europop']",1989,22,328093,https://open.spotify.com/track/1qIKynV6YQZgocodkPdCy7,https://i.scdn.co/image/ab67616d00001e02df5802b1cc1533f54255e2d1,spotify:track:1qIKynV6YQZgocodkPdCy7,58,0.108,0.539,0.583,0.0,0.111,-4.935,0.0275,86.063,0.337,1,0,4
I'll Be There For You - (Karaoke Version ) [In The Style Of Bon Jovi],Karaoke: #1 Hits 1980-1989 Vol. 1,2010-09-28,['Karaoke Jukebox Heroes'],['karaoke'],1989,23,351317,https://open.spotify.com/track/5jNgT5uBNvZM4DUsMNwfku,https://i.scdn.co/image/ab67616d00001e027fd8635e2255c3d49f40c1b2,spotify:track:5jNgT5uBNvZM4DUsMNwfku,0,0.0652,0.577,0.302,0.869,0.0751,-14.578,0.0401,138.601,0.333,2,1,4
If You Don't Know Me by Now - 2008 Remaster,A New Flame (Expanded Version),1989,['Simply Red'],"['soft rock', 'sophisti-pop', 'british soul', 'new wave pop', 'new romantic']",1989,24,204000,https://open.spotify.com/track/7DFawVSjI88xR9mjnWwURg,https://i.scdn.co/image/ab67616d00001e028f8dc242b396ddc31c01d36c,spotify:track:7DFawVSjI88xR9mjnWwURg,73,0.492,0.638,0.352,0.0,0.105,-9.266,0.0268,94.173,0.204,10,1,3
Like a Prayer,Celebration (double disc version),2009-09-18,['Madonna'],"['dance pop', 'pop']",1989,25,342680,https://open.spotify.com/track/1z3ugFmUKoCzGsI6jdY4Ci,https://i.scdn.co/image/ab67616d00001e021fc9fd5d701ee05cb39b7b19,spotify:track:1z3ugFmUKoCzGsI6jdY4Ci,75,0.264,0.624,0.842,2.11e-05,0.181,-5.285,0.0376,111.037,0.257,5,1,4
"I’ll Be Loving You (Forever) (Live in Philadelphia, June 2022)",Selections From Philadelphia 2022,2023-04-24,['New Kids On The Block'],['boy band'],1989,26,364346,https://open.spotify.com/track/4b3Kwus7CK8NmlEAHoMXKk,https://i.scdn.co/image/ab67616d00001e0239a48082bf093821ea1175e5,spotify:track:4b3Kwus7CK8NmlEAHoMXKk,25,0.0964,0.371,0.71,0.0,0.74,-6.437,0.0481,135.003,0.223,11,1,4
How Can I Fall ?,All That Jazz,1988-01-01,['Breathe'],['sophisti-pop'],1989,27,284360,https://open.spotify.com/track/62oGUBJQGPa3emMGMejBhm,https://i.scdn.co/image/ab67616d00001e021d964c64881ed6b7ffa6648c,spotify:track:62oGUBJQGPa3emMGMejBhm,50,0.397,0.499,0.417,0.0,0.0622,-13.982,0.0286,132.195,0.505,9,1,4
Baby Don't Forget My Number,All Or Nothing,1988-11-14,['Milli Vanilli'],"['new wave pop', 'new jack swing', 'freestyle']",1989,28,249640,https://open.spotify.com/track/3t4EJY6cTsb6FyP1EQzajK,https://i.scdn.co/image/ab67616d00001e020d2fdbac7d25761e5be37bb7,spotify:track:3t4EJY6cTsb6FyP1EQzajK,51,0.00543,0.851,0.649,0.0029,0.156,-12.877,0.0748,100.302,0.846,6,0,4
Toy Soldiers,Martika (Expanded Edition),1988-06-01,['Martika'],"['new wave pop', 'minneapolis sound', 'synthpop', 'new romantic']",1989,29,287600,https://open.spotify.com/track/4jh9olf0OKCokpzxSyLeJx,https://i.scdn.co/image/ab67616d00001e02397e900bde97ca67651078c1,spotify:track:4jh9olf0OKCokpzxSyLeJx,62,0.405,0.513,0.591,0.0,0.126,-6.407,0.0274,130.167,0.173,1,0,4
Forever Your Girl,Forever Your Girl,1988-01-01,['Paula Abdul'],"['new wave pop', 'soft rock', 'dance pop']",1989,30,300466,https://open.spotify.com/track/0lmS0Wofcv7B7uFYssSKta,https://i.scdn.co/image/ab67616d00001e02cb3cea7439a97660b3aedb8c,spotify:track:0lmS0Wofcv7B7uFYssSKta,48,0.185,0.701,0.891,0.0454,0.076,-7.873,0.0446,119.966,0.747,2,1,4
The Living Years,Living Years,1988,['Mike + The Mechanics'],"['new wave', 'album rock', 'soft rock', 'new wave pop', 'synthpop', 'new romantic', 'mellow gold']",1989,31,330266,https://open.spotify.com/track/7tJnjRY2js0yXtNUWE4fgF,https://i.scdn.co/image/ab67616d00001e02afb5b28adf329c33ff446776,spotify:track:7tJnjRY2js0yXtNUWE4fgF,57,0.58,0.518,0.417,0.0,0.0722,-13.268,0.0325,97.63,0.311,8,1,4
Eternal Flame,Everything,1988-10-18,['The Bangles'],"['new wave', 'album rock', 'soft rock', 'jangle pop', 'paisley underground', 'new wave pop', 'synthpop', 'new romantic', 'mellow gold']",1989,32,235666,https://open.spotify.com/track/4xiaE15ARCs5CVPA6J8gmC,https://i.scdn.co/image/ab67616d00001e025ab118299478c4572e97e437,spotify:track:4xiaE15ARCs5CVPA6J8gmC,58,0.635,0.521,0.233,0.0,0.245,-13.683,0.0254,78.93,0.4,7,1,3
Wild Thing,Loc-ed After Dark,1989-01-01,['Tone-Loc'],"['miami bass', 'hip hop']",1989,33,263573,https://open.spotify.com/track/0gljI0CtjpdZK6ecidfxto,https://i.scdn.co/image/ab67616d00001e027d02bf7ee36c4c913636a4f3,spotify:track:0gljI0CtjpdZK6ecidfxto,62,0.000507,0.943,0.685,8.56e-06,0.0604,-11.903,0.188,125.515,0.813,7,1,4
When I See You Smile,Bad English,1989-06-15,['Bad English'],"['glam metal', 'album rock', 'hard rock', 'soft rock']",1989,34,257440,https://open.spotify.com/track/0tKjVEJlX3IZ5L1rEJc5hh,https://i.scdn.co/image/ab67616d00001e029b5df9355cf2a5465038b740,spotify:track:0tKjVEJlX3IZ5L1rEJc5hh,66,0.42,0.495,0.609,0.0,0.187,-9.902,0.0339,135.671,0.33,7,1,4
If I Could Turn Back Time,Heart Of Stone,1989-01-01,['Cher'],"['dance pop', 'pop']",1989,35,239826,https://open.spotify.com/track/6mYrhCAGWzTdF8QnKuchXM,https://i.scdn.co/image/ab67616d00001e027a1e0215c41f0ce411623301,spotify:track:6mYrhCAGWzTdF8QnKuchXM,73,0.243,0.658,0.575,0.0,0.122,-10.365,0.0267,108.329,0.504,11,1,4
Buffalo Stance,Raw Like Sushi,1989-01-01,['Neneh Cherry'],"['new wave pop', 'urban contemporary']",1989,36,342360,https://open.spotify.com/track/3XWgwgbWDI56mf1Wl3cLzb,https://i.scdn.co/image/ab67616d00001e02790834ab13554b7287183c2a,spotify:track:3XWgwgbWDI56mf1Wl3cLzb,56,0.0113,0.708,0.627,3.13e-05,0.338,-11.155,0.0614,107.246,0.764,1,1,4
When I'm With You,Sheriff,1982-01-01,['Sheriff'],['classic canadian rock'],1989,37,238040,https://open.spotify.com/track/3RJof5CojqlbgZ5adHw50O,https://i.scdn.co/image/ab67616d00001e02b945eaec310d8457aba5aa3b,spotify:track:3RJof5CojqlbgZ5adHw50O,53,0.274,0.248,0.324,0.00946,0.113,-10.878,0.03,135.786,0.122,9,1,4
Tell It to My Heart,Tell It to My Heart (Expanded Edition),1988-01-19,['Taylor Dayne'],"['soft rock', 'hi-nrg', 'freestyle', 'new wave pop', 'synthpop', 'new romantic']",1989,38,220880,https://open.spotify.com/track/3YVPpVJvJG2EauXurPA90F,https://i.scdn.co/image/ab67616d00001e024f7420eec423c20556744d7d,spotify:track:3YVPpVJvJG2EauXurPA90F,71,0.0302,0.638,0.988,1.16e-05,0.371,-5.042,0.0921,117.955,0.723,1,1,4
Born To Be My Baby,New Jersey (Deluxe Edition),1988-09-13,['Bon Jovi'],"['glam metal', 'rock']",1989,39,280106,https://open.spotify.com/track/50ZpPgU81payZxI2H7QXNM,https://i.scdn.co/image/ab67616d00001e02901d0116a03d30a5c45bb99c,spotify:track:50ZpPgU81payZxI2H7QXNM,64,0.0089,0.534,0.959,0.0,0.347,-4.289,0.0379,131.278,0.756,7,1,4
Good Thing,The Raw & The Cooked,1988-01-01,['Fine Young Cannibals'],"['new wave', 'soft rock', 'dance rock', 'new wave pop', 'australian rock', 'synthpop', 'new romantic', 'mellow gold']",1989,40,201866,https://open.spotify.com/track/6lRkdG1HurVS72F9GoBeWJ,https://i.scdn.co/image/ab67616d00001e02c573a4a852f010523c4ba383,spotify:track:6lRkdG1HurVS72F9GoBeWJ,65,0.0708,0.747,0.586,8e-05,0.0427,-10.119,0.0299,164.718,0.893,9,0,4
The Lover In Me,The Lover In Me,1988-11-01,['Sheena Easton'],"['soft rock', 'minneapolis sound', 'new wave pop', 'synthpop', 'new romantic', 'mellow gold']",1989,41,301373,https://open.spotify.com/track/6pvIzUyq2yxvIEIK8i6hRs,https://i.scdn.co/image/ab67616d00001e0275e23e15f4f4a91ec560a8b0,spotify:track:6pvIzUyq2yxvIEIK8i6hRs,32,0.0274,0.818,0.808,0.0,0.0592,-8.536,0.0467,115.221,0.931,7,0,4
Bust A Move,Stone Cold Rhymin',1989-01-01,['Young MC'],"['miami bass', 'hip house']",1989,42,263914,https://open.spotify.com/track/3IeCYkdKI55mNMl2o4vX0k,https://i.scdn.co/image/ab67616d00001e026399e0c1729dbaf36d7026c3,spotify:track:3IeCYkdKI55mNMl2o4vX0k,66,0.0512,0.946,0.772,2.26e-06,0.0612,-7.537,0.121,116.972,0.743,4,0,4
Once Bitten Twice Shy,Twice Shy,1989-01-01,['Great White'],"['glam metal', 'album rock', 'hard rock']",1989,43,322896,https://open.spotify.com/track/07nxmAxwhY51juyImllKD2,https://i.scdn.co/image/ab67616d00001e028810d0f49ecffe09fa85d89c,spotify:track:07nxmAxwhY51juyImllKD2,54,0.028,0.722,0.54,0.00319,0.133,-14.025,0.0303,131.676,0.608,0,1,4
Batdance,Batman,1989-06-20,['Prince'],"['funk rock', 'minneapolis sound', 'synth funk', 'rock', 'funk']",1989,44,373733,https://open.spotify.com/track/4DbUk1qwcz9KKcUY4t8f8u,https://i.scdn.co/image/ab67616d00001e02dd64809bbf416dde80e80f99,spotify:track:4DbUk1qwcz9KKcUY4t8f8u,47,0.168,0.594,0.702,0.109,0.142,-9.894,0.0842,135.406,0.466,1,1,4
Rock On - Ver. 09,Rock On,2009-03-31,['Michael Damian'],[],1989,45,212348,https://open.spotify.com/track/6e3O5XkMEhMAatdKnOlZPh,https://i.scdn.co/image/ab67616d00001e0291094e8d605b3c48927ea61c,spotify:track:6e3O5XkMEhMAatdKnOlZPh,32,0.0315,0.433,0.798,0.00196,0.048,-3.603,0.0805,168.247,0.584,1,0,4
Real Love,Larger Than Life,1989-01-01,"['Jody Watley', 'Louil Silas Jr.']","['quiet storm', 'new jack swing', 'urban contemporary', 'minneapolis sound', 'freestyle', 'contemporary r&b']",1989,46,261440,https://open.spotify.com/track/0vbbwEUSkZf3oA1dLlIoFL,https://i.scdn.co/image/ab67616d00001e025921d7a81d81c7ca56e2e394,spotify:track:0vbbwEUSkZf3oA1dLlIoFL,40,0.00241,0.7,0.727,0.00131,0.0267,-8.341,0.0737,109.165,0.704,7,1,4
Love Shack,Cosmic Thing,1989-06-23,"[""The B-52's""]","['new wave', 'album rock', 'post-punk', 'permanent wave', 'zolo', 'classic rock', 'dance rock', 'rock', 'new wave pop', 'new romantic']",1989,47,320680,https://open.spotify.com/track/4W4wYHtsrgDiivRASVOINL,https://i.scdn.co/image/ab67616d00001e0293bf4c5e67f6a72149d94c94,spotify:track:4W4wYHtsrgDiivRASVOINL,73,0.0544,0.701,0.803,1.54e-06,0.7,-6.786,0.0545,133.608,0.903,5,0,4
Every Little Step,Don't Be Cruel,1988-01-01,['Bobby Brown'],"['contemporary r&b', 'new jack swing', 'urban contemporary', 'r&b']",1989,48,237240,https://open.spotify.com/track/0s6e7ZafqOAUBDoQYGmxrc,https://i.scdn.co/image/ab67616d00001e0253cf43170dc29787984cf6b4,spotify:track:0s6e7ZafqOAUBDoQYGmxrc,64,0.00721,0.797,0.656,0.0,0.0377,-11.601,0.0404,99.828,0.948,1,1,4
Hangin' Tough,Hangin' Tough,1988-09-02,['New Kids On The Block'],['boy band'],1989,49,256560,https://open.spotify.com/track/16flEBCtUF67V5yO0GxYWn,https://i.scdn.co/image/ab67616d00001e02c9866ae0043a0ccd4075fd05,spotify:track:16flEBCtUF67V5yO0GxYWn,52,0.119,0.763,0.552,0.000695,0.28,-11.98,0.0449,90.775,0.744,6,1,4
I Don't Want to Talk About It - 2008 Remaster,Atlantic Crossing,1975,['Rod Stewart'],"['soft rock', 'mellow gold']",1989,50,288266,https://open.spotify.com/track/2JWKzkQbYsNzx019WyGzaH,https://i.scdn.co/image/ab67616d00001e029199bdfc160aa8d63a57040a,spotify:track:2JWKzkQbYsNzx019WyGzaH,68,0.872,0.472,0.373,0.206,0.147,-12.98,0.0262,135.193,0.459,3,1,4
So Alive,Love and Rockets,1989-09-04,['Love and Rockets'],"['gothic rock', 'post-punk', 'new romantic', 'new wave']",1989,51,257825,https://open.spotify.com/track/7pfP8Z9M9KRUtzTLcnjem5,https://i.scdn.co/image/ab67616d00001e0269915f4ea1112366bff72b73,spotify:track:7pfP8Z9M9KRUtzTLcnjem5,56,0.00548,0.698,0.567,0.234,0.147,-13.968,0.0296,118.826,0.919,10,1,4
You Got It (The Right Stuff),Hangin' Tough,1988-09-02,['New Kids On The Block'],['boy band'],1989,52,249960,https://open.spotify.com/track/4buDeg67vos7KP1yHrS9wl,https://i.scdn.co/image/ab67616d00001e02c9866ae0043a0ccd4075fd05,spotify:track:4buDeg67vos7KP1yHrS9wl,56,0.0126,0.787,0.522,1.34e-06,0.0671,-13.029,0.0578,111.576,0.923,0,0,4
Armageddon It - Remastered 2017,Hysteria (Super Deluxe),1987-08-03,['Def Leppard'],"['album rock', 'hard rock', 'nwobhm', 'classic rock', 'glam metal', 'rock']",1989,53,322866,https://open.spotify.com/track/16MQZkAIAAtI4X5NuiEwuq,https://i.scdn.co/image/ab67616d00001e02222cb38afc3b3b47d9df26aa,spotify:track:16MQZkAIAAtI4X5NuiEwuq,58,0.000798,0.65,0.921,0.0298,0.134,-6.014,0.0359,119.8,0.648,9,1,4
Satisfied,Repeat Offender,1989-01-01,['Richard Marx'],"['new wave pop', 'soft rock']",1989,54,254466,https://open.spotify.com/track/4V87hYB94wu8DFtd901riK,https://i.scdn.co/image/ab67616d00001e02edc27582d8f5c3a7c56893bf,spotify:track:4V87hYB94wu8DFtd901riK,46,0.0717,0.572,0.914,0.00776,0.319,-8.436,0.0311,108.991,0.843,8,1,4
Express Yourself,Celebration (double disc version),2009-09-18,['Madonna'],"['dance pop', 'pop']",1989,55,239093,https://open.spotify.com/track/6ioBgySxoeQKALvAeLEmId,https://i.scdn.co/image/ab67616d00001e021fc9fd5d701ee05cb39b7b19,spotify:track:6ioBgySxoeQKALvAeLEmId,58,0.0108,0.667,0.93,0.0,0.176,-4.585,0.0608,115.57,0.893,7,1,4
I Like It,24/7,1989-01-01,['DINO'],[],1989,56,307200,https://open.spotify.com/track/1UHXwhhhyyikWEa3h79sNF,https://i.scdn.co/image/ab67616d00001e027ae35921b7c6d349eba30ebe,spotify:track:1UHXwhhhyyikWEa3h79sNF,33,0.00384,0.786,0.659,0.0107,0.0663,-11.792,0.0919,108.288,0.935,4,0,4
"Soldier Of Love - 12"" Version",The Definitive Collection,2009-01-01,['Donny Osmond'],"['movie tunes', 'bubblegum pop']",1989,57,353440,https://open.spotify.com/track/1I0HPyA358wezY1aCpuLBS,https://i.scdn.co/image/ab67616d00001e02a38579e276129b4a5cbea093,spotify:track:1I0HPyA358wezY1aCpuLBS,30,0.0507,0.498,0.95,0.00324,0.168,-5.786,0.061,192.563,0.889,10,0,4
Sowing The Seeds Of Love,The Seeds Of Love,1989-09-25,['Tears For Fears'],"['new wave', 'sophisti-pop', 'permanent wave', 'rock', 'new wave pop', 'synthpop', 'new romantic']",1989,58,376733,https://open.spotify.com/track/0PbAyLrJRDxckQBLQ2Addc,https://i.scdn.co/image/ab67616d00001e02cda963878b34b80c742d11bb,spotify:track:0PbAyLrJRDxckQBLQ2Addc,66,0.0109,0.209,0.795,5.63e-05,0.355,-7.241,0.0443,171.975,0.682,0,1,4
Cherish,Celebration (double disc version),2009-09-18,['Madonna'],"['dance pop', 'pop']",1989,59,229600,https://open.spotify.com/track/7BLKBIoijWCkDyOATEr5vW,https://i.scdn.co/image/ab67616d00001e021fc9fd5d701ee05cb39b7b19,spotify:track:7BLKBIoijWCkDyOATEr5vW,52,0.289,0.692,0.875,3.27e-05,0.0675,-4.528,0.0345,131.877,0.9,2,1,4
When the Children Cry,Pride,1987,['White Lion'],"['glam metal', 'album rock', 'hard rock']",1989,60,258600,https://open.spotify.com/track/4ZCLM74MYhUy80TPiaAuee,https://i.scdn.co/image/ab67616d00001e02512d0dd80663f528b6cb43ed,spotify:track:4ZCLM74MYhUy80TPiaAuee,61,0.68,0.493,0.242,0.0,0.071,-13.593,0.0291,130.258,0.345,4,0,4
18 and Life,Skid Row,1989-01-24,['Skid Row'],"['album rock', 'metal', 'hard rock', 'glam metal', 'rock']",1989,61,229960,https://open.spotify.com/track/0qgrrDnUUhyxpxbBznUnzg,https://i.scdn.co/image/ab67616d00001e02ae63b58e90bef8888658ae21,spotify:track:0qgrrDnUUhyxpxbBznUnzg,71,0.0023,0.466,0.648,1.49e-05,0.112,-11.101,0.028,90.435,0.305,1,0,4
I Don't Want Your Love - 2010 Remaster,Big Thing (Deluxe Edition),1988-10-18,['Duran Duran'],"['new wave', 'album rock', 'soft rock', 'classic rock', 'dance rock', 'rock', 'new wave pop', 'synthpop', 'new romantic']",1989,62,246386,https://open.spotify.com/track/0AUys3I9ow0KSaqew5esK7,https://i.scdn.co/image/ab67616d00001e02f86b949d6d388396bb6dfff3,spotify:track:0AUys3I9ow0KSaqew5esK7,36,0.00848,0.697,0.659,0.000257,0.099,-12.474,0.053,108.997,0.747,7,1,4
Second Chance,Rock & Roll Strategy,1988-01-01,['38 Special'],"['soft rock', 'album rock', 'hard rock', 'southern rock', 'classic rock', 'glam metal', 'rock', 'country rock', 'mellow gold']",1989,63,304693,https://open.spotify.com/track/0RAn8LOs5QVMLy2xH30bUj,https://i.scdn.co/image/ab67616d00001e021888e9e65c944abf0234979e,spotify:track:0RAn8LOs5QVMLy2xH30bUj,58,0.166,0.664,0.426,0.0,0.0652,-12.852,0.0282,118.785,0.518,10,1,4
The Way You Love Me,Karyn White,1988-01-01,['Karyn White'],"['new jack swing', 'urban contemporary', 'minneapolis sound', 'contemporary r&b', 'r&b']",1989,64,294720,https://open.spotify.com/track/1TtJkmAW9Rc55iVOPgZ33z,https://i.scdn.co/image/ab67616d00001e024ed1410bb4b7681d30c2a2a4,spotify:track:1TtJkmAW9Rc55iVOPgZ33z,50,0.0712,0.797,0.785,0.0,0.0691,-7.523,0.0723,105.072,0.863,6,1,4
Funky Cold Medina,Loc-ed After Dark,1989-01-01,['Tone-Loc'],"['miami bass', 'hip hop']",1989,65,248160,https://open.spotify.com/track/5YIF6HSOtHN9HdcE5IPzMe,https://i.scdn.co/image/ab67616d00001e027d02bf7ee36c4c913636a4f3,spotify:track:5YIF6HSOtHN9HdcE5IPzMe,59,0.0755,0.988,0.633,1.88e-06,0.0668,-15.012,0.0888,117.493,0.929,5,0,4
In Your Room,Everything,1988-10-18,['The Bangles'],"['new wave', 'album rock', 'soft rock', 'jangle pop', 'paisley underground', 'new wave pop', 'synthpop', 'new romantic', 'mellow gold']",1989,66,207533,https://open.spotify.com/track/6BsXgrxQViV3PdAjS13uWZ,https://i.scdn.co/image/ab67616d00001e025ab118299478c4572e97e437,spotify:track:6BsXgrxQViV3PdAjS13uWZ,44,0.0137,0.612,0.585,0.0068,0.0635,-11.931,0.0337,149.2,0.799,5,1,4
Miss You Like Crazy,Good To Be Back,1989,['Natalie Cole'],"['disco', 'quiet storm', 'soul', 'adult standards', 'vocal jazz']",1989,67,234280,https://open.spotify.com/track/6d1IYeSfyqOTW61rPgocGD,https://i.scdn.co/image/ab67616d00001e02a01ef8187731ed06f70c376b,spotify:track:6d1IYeSfyqOTW61rPgocGD,65,0.633,0.595,0.546,0.00422,0.0697,-6.251,0.0267,131.136,0.255,2,1,4
Lovesong - 2010 Remaster,Disintegration (Deluxe Edition),1989-05-02,['The Cure'],"['new wave', 'uk post-punk', 'rock', 'permanent wave']",1989,68,209573,https://open.spotify.com/track/0X5C4WjQNubRysTkHOubz3,https://i.scdn.co/image/ab67616d00001e02c7ca2db25ad377e022bc3975,spotify:track:0X5C4WjQNubRysTkHOubz3,67,0.339,0.611,0.813,0.898,0.224,-7.689,0.0279,140.112,0.821,9,0,4
Secret Rendezvous,Karyn White,1988-01-01,['Karyn White'],"['new jack swing', 'urban contemporary', 'minneapolis sound', 'contemporary r&b', 'r&b']",1989,69,337400,https://open.spotify.com/track/4aYOQDyN2wTOlt2mRQ6zef,https://i.scdn.co/image/ab67616d00001e024ed1410bb4b7681d30c2a2a4,spotify:track:4aYOQDyN2wTOlt2mRQ6zef,41,0.0503,0.733,0.689,0.00115,0.0656,-13.001,0.0388,111.695,0.888,10,0,4
Angel Eyes - Album Edit,Master Hits,1999-07-27,['The Jeff Healey Band'],"['canadian blues', 'electric blues', 'heartland rock', 'blues rock', 'british blues', 'country rock', 'modern blues', 'blues']",1989,70,280933,https://open.spotify.com/track/3gDtrR0W8CmkyS6mweesSS,https://i.scdn.co/image/ab67616d00001e02809bd41e966bf1148fcce88f,spotify:track:3gDtrR0W8CmkyS6mweesSS,48,0.355,0.536,0.571,0.0,0.0595,-6.879,0.0278,126.909,0.397,0,1,4
Patience,Appetite For Destruction (Super Deluxe Edition),1987-07-21,"[""Guns N' Roses""]","['glam metal', 'hard rock', 'rock']",1989,71,354880,https://open.spotify.com/track/1OEoNpiyqBghuEUaT6Je6U,https://i.scdn.co/image/ab67616d00001e027e1774622a9c5f52b7dd1c33,spotify:track:1OEoNpiyqBghuEUaT6Je6U,74,0.686,0.457,0.297,0.000107,0.109,-12.511,0.0306,120.021,0.333,6,1,4
Walk On Water,Nothing to Lose,1988-09-01,['Eddie Money'],"['soft rock', 'album rock', 'hard rock', 'southern rock', 'classic rock', 'glam metal', 'country rock', 'mellow gold']",1989,72,278480,https://open.spotify.com/track/6TWYdlmZVmZYcJlQ82ff1K,https://i.scdn.co/image/ab67616d00001e0251a21307d6288b39775ba368,spotify:track:6TWYdlmZVmZYcJlQ82ff1K,47,0.28,0.608,0.836,0.0,0.179,-9.867,0.0467,119.033,0.589,2,1,4
Cover Girl,Hangin' Tough,1988-09-02,['New Kids On The Block'],['boy band'],1989,73,241840,https://open.spotify.com/track/6CCYX0JVy5qYqUvWpCvHXh,https://i.scdn.co/image/ab67616d00001e02c9866ae0043a0ccd4075fd05,spotify:track:6CCYX0JVy5qYqUvWpCvHXh,42,0.0344,0.721,0.765,2.83e-06,0.322,-13.036,0.0345,119.95,0.948,6,1,4
